Tiempo(s),Crudo(m),Filtro_EMA(m),Kalman(m)
24.10,0.1081,0.1086,0.0930
24.15,0.1091,0.1087,0.0930
24.20,0.1081,0.1085,0.0929
24.25,0.1084,0.1085,0.0929
24.30,0.1086,0.1085,0.0929
24.35,0.1082,0.1084,0.0929
24.40,0.1081,0.1083,0.0929
24.45,0.1085,0.1084,0.0928
24.50,0.1086,0.1084,0.0928
24.55,0.1056,0.1076,0.0927
24.60,0.1023,0.1060,0.0924
24.65,0.1002,0.1042,0.0918
24.70,0.0994,0.1028,0.0910
24.75,0.0953,0.1006,0.0901
24.80,0.0915,0.0978,0.0888
24.85,0.0964,0.0974,0.0951
24.90,0.0989,0.0978,0.1003
24.95,0.1010,0.0988,0.1049
25.00,0.1016,0.0996,0.1089
25.05,0.1019,0.1003,0.1123
25.10,0.1056,0.1019,0.1154
25.15,0.1073,0.1035,0.1183
25.20,0.1093,0.1053,0.1200
25.25,0.1085,0.1063,0.1178
25.30,0.1083,0.1069,0.1161
25.35,0.1090,0.1075,0.1148
25.40,0.1087,0.1079,0.1113
25.45,0.1086,0.1081,0.1083
25.50,0.1084,0.1082,0.1059
25.55,0.1091,0.1084,0.1038
25.60,0.1087,0.1085,0.1021
25.65,0.1091,0.1087,0.1008
25.70,0.1083,0.1086,0.0995
25.75,0.1041,0.1072,0.0983
25.80,0.1015,0.1055,0.0969
25.85,0.0977,0.1032,0.0955
25.90,0.0948,0.1006,0.0939
25.95,0.0903,0.0975,0.0920
26.00,0.0825,0.0930,0.0897
26.05,0.0947,0.0935,0.0952
26.10,0.0975,0.0947,0.0999
26.15,0.1090,0.0990,0.1046
26.20,0.1083,0.1018,0.1090
26.25,0.1081,0.1037,0.1129
26.30,0.1071,0.1047,0.1164
26.35,0.1086,0.1059,0.1195
26.40,0.1087,0.1067,0.1200
26.45,0.1090,0.1074,0.1179
26.50,0.1088,0.1078,0.1164
26.55,0.1088,0.1081,0.1152
26.60,0.1086,0.1082,0.1116
26.65,0.1091,0.1085,0.1087
26.70,0.1081,0.1084,0.1062
26.75,0.1087,0.1085,0.1041
26.80,0.1084,0.1084,0.1024
26.85,0.1086,0.1085,0.1008
26.90,0.1085,0.1085,0.0996
26.95,0.1088,0.1086,0.0986
27.00,0.1086,0.1086,0.0977
27.05,0.1086,0.1086,0.0970
27.10,0.1082,0.1085,0.0963
27.15,0.1082,0.1084,0.0958
27.20,0.1065,0.1078,0.0952
27.25,0.1048,0.1069,0.0946
27.30,0.1024,0.1056,0.0939
27.35,0.1009,0.1042,0.0930
27.40,0.1025,0.1037,0.0922
27.45,0.0986,0.1022,0.0914
27.50,0.0943,0.0998,0.0902
27.55,0.0958,0.0986,0.0891
27.60,0.0959,0.0978,0.0954
27.65,0.1010,0.0988,0.1007
27.70,0.1038,0.1003,0.1055
27.75,0.1092,0.1030,0.1099
27.80,0.1088,0.1047,0.1139
27.85,0.1091,0.1060,0.1174
27.90,0.1086,0.1068,0.1200
27.95,0.1090,0.1075,0.1200
28.00,0.1086,0.1078,0.1180
28.05,0.1084,0.1080,0.1165
28.10,0.1083,0.1081,0.1152
28.15,0.1079,0.1080,0.1116
28.20,0.1087,0.1082,0.1087
28.25,0.1083,0.1083,0.1062
28.30,0.1082,0.1083,0.1040
28.35,0.1090,0.1085,0.1023
28.40,0.1089,0.1086,0.1008
28.45,0.1081,0.1084,0.0996
28.50,0.1084,0.1084,0.0986
28.55,0.1091,0.1086,0.0976
28.60,0.1090,0.1088,0.0970
28.65,0.1093,0.1089,0.0964
28.70,0.1066,0.1082,0.0958
28.75,0.1021,0.1064,0.0950
28.80,0.0997,0.1044,0.0940
28.85,0.0984,0.1026,0.0929
28.90,0.0923,0.0995,0.0915
28.95,0.0998,0.0996,0.0903
29.00,0.1007,0.0999,0.0894
29.05,0.0987,0.0996,0.0958
29.10,0.1017,0.1002,0.1014
29.15,0.1040,0.1013,0.1062
29.20,0.1081,0.1034,0.1106
29.25,0.1087,0.1050,0.1144
29.30,0.1087,0.1061,0.1179
29.35,0.1079,0.1066,0.1200
29.40,0.1083,0.1071,0.1200
29.45,0.1088,0.1076,0.1180
29.50,0.1084,0.1079,0.1165
29.55,0.1084,0.1080,0.1152
29.60,0.1090,0.1083,0.1117
29.65,0.1091,0.1086,0.1088
29.70,0.1081,0.1084,0.1062
29.75,0.1080,0.1083,0.1042
29.80,0.1088,0.1084,0.1024
29.85,0.1088,0.1085,0.1009
29.90,0.1080,0.1084,0.0996
29.95,0.1084,0.1084,0.0986
